gender,age,type,collection,id,time,date,number,report,# words,Emotions,# Emotions,TSNE_x,TSNE_y,PCA_x,PCA_y,Kmean_Cluster_6,Kmean Cluster_2,2W_SA_label,2W_SA_score,6W_SA_dict
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-08-02,1515,"Josh and I are in bed. We cuddle shyly. We don't make love but just acknowledge the possibility of later. I get up and walk down the street. Someone has called the police because it's not proper for Josh and me to be together, because of his disability. I give an eloquent lecture about discrimination. [BL]",67,Missing,0,-21.943995,37.410725,0.57512987,3.2136347,1,0,NEGATIVE,0.9455955624580383,"[[{'label': 'sadness', 'score': 0.01684299111366272}, {'label': 'joy', 'score': 0.046788766980171204}, {'label': 'love', 'score': 0.01041173841804266}, {'label': 'anger', 'score': 0.856529712677002}, {'label': 'fear', 'score': 0.06867143511772156}, {'label': 'surprise', 'score': 0.0007554116891697049}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-08-10,1523,"I'm in a bathtub and draining the water. I stand up, being careful not to slip on the soap bars. I step into a second tub of cool water and rinse. I then dry off and get into a bathrobe. I hear a knock at the door. I wonder if I should ask, ""Who is it?"" before I open it. It might be a bad person. I don't ask, and it is Bonnie. I say, ""Come in, but as you can see, all my furniture is gone. I'm moving."" [BL]",116,Missing,0,-20.349075,44.193996,0.19346829,4.4725537,3,0,NEGATIVE,0.9984124898910522,"[[{'label': 'sadness', 'score': 0.2009383738040924}, {'label': 'joy', 'score': 0.5643740296363831}, {'label': 'love', 'score': 0.005276693496853113}, {'label': 'anger', 'score': 0.16880632936954498}, {'label': 'fear', 'score': 0.05888175591826439}, {'label': 'surprise', 'score': 0.001722770743072033}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-08-17,1536,"I am the only English boy in a Chinese school. They don't like me at all. They are all seated at long tables in rows. I must sit alone at a school desk. I had befriended a Chinese girl who wanted me to sit with her, but the teacher hated me and made me sit alone. So when she wasn't looking, I'd sneak between the tables back to my desk. [BL]",84,Missing,0,-19.26109,33.027454,4.043466,2.4704556,5,0,NEGATIVE,0.998615026473999,"[[{'label': 'sadness', 'score': 0.07981522381305695}, {'label': 'joy', 'score': 0.0008923704153858125}, {'label': 'love', 'score': 0.0006624498637393117}, {'label': 'anger', 'score': 0.9173147678375244}, {'label': 'fear', 'score': 0.0010218078969046474}, {'label': 'surprise', 'score': 0.00029340802575461566}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-08-28,1559,"My parents are in a car. I'm following, wind in the face. We get to the school where they are going to help me do some paper work. They go in and I can't find a wheelchair ramp. Then I do and find a grumpy woman to ask directions. She takes me down a long hall, complaining that she can't breathe as she walks and hangs her shirt on a clothes line with herself in it so she can rest. I get angry at her and turn to go back and find the room. I see a sign that says ""B's Enterprises Brothel."" I sneer, ""Who did that! ""The woman is proud to say she did. It is in vibrant pink colors. [BL]",147,AN,1,-25.222485,54.23363,-2.7148438,5.299333,3,1,NEGATIVE,0.9916394352912903,"[[{'label': 'sadness', 'score': 0.0005241807084530592}, {'label': 'joy', 'score': 0.0003466119815129787}, {'label': 'love', 'score': 0.00022078082838561386}, {'label': 'anger', 'score': 0.997977077960968}, {'label': 'fear', 'score': 0.0007467042305506766}, {'label': 'surprise', 'score': 0.00018465094035491347}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-09-25,1585,"I am a teen and I've been invited to sit at the head table with the rich and intelligent ones. I am honored. They ask me if I think classical or rock music is better. I say definitely classical. An old man is dying. At first they won't let me into see him because I'm so young, but my sensible attitude and emotional strength are seen and I am permitted. I hug him, weeping. We say goodbye. I go on and become an intellectual genius having taken ""ap"" classes in high school and learning in a single-minded fashion. [BL]",117,Missing,0,-22.23119,36.414032,1.2146634,3.8590682,3,0,POSITIVE,0.9994028806686401,"[[{'label': 'sadness', 'score': 0.00048054431681521237}, {'label': 'joy', 'score': 0.9985462427139282}, {'label': 'love', 'score': 0.000426401209551841}, {'label': 'anger', 'score': 0.0002632939431350678}, {'label': 'fear', 'score': 0.00015305090346373618}, {'label': 'surprise', 'score': 0.00013043558283243328}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-10-05,1594,"I am standing on a small piece of land. There is a huge body of water to my left and in front of me. A single tree stands to my right. Someone says, ""Here's the forest."" I laugh and say, ""Some forest!"" There is one tree left. All the rest have been chopped down. I see two people seated under the water. I wonder how they can breathe. One rises up and starts approaching me. I get scared because this is a ""siren,"" a spirit that wants to lure me away. She starts to bite on my ankle. I move so that she ends up biting the base of the ancient tree. If I'd let her bite me, I'd have been a goner. She hovers near and keeps trying. I must focus my energies on keeping away from her. I see a single line of ancient trees stretched out in front of me (in single file), the last remains of a huge and lush forest. The land is totally barren. I must walk across the cut branches (stumps) to get to safety. The water roils and seems threatening. [BL]",229,AP,1,-23.61517,51.403263,-1.4711922,5.0986943,3,1,NEGATIVE,0.9976097345352173,"[[{'label': 'sadness', 'score': 0.0006590855191461742}, {'label': 'joy', 'score': 0.0003246839623898268}, {'label': 'love', 'score': 0.00012232607696205378}, {'label': 'anger', 'score': 0.0017902940744534135}, {'label': 'fear', 'score': 0.996701180934906}, {'label': 'surprise', 'score': 0.0004024792287964374}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-10-08,1597,"I'm in a river raft in the back. A man is in the front. I tell him I can't swim. He says, ""Hang on."" We hit the rapids. The raft is tipping up and I throw myself onto the man to put more weight in the front. It works and I'm pleased with myself for quick thinking. I also like being there in a semi-embrace with him. We come through a tunnel of white water and are safe. [BL]",96,HA,1,-21.0062,41.760532,0.76092756,3.9040034,3,0,POSITIVE,0.9993796348571777,"[[{'label': 'sadness', 'score': 0.0002109309716615826}, {'label': 'joy', 'score': 0.9989125728607178}, {'label': 'love', 'score': 0.00037379100103862584}, {'label': 'anger', 'score': 0.00019039676408283412}, {'label': 'fear', 'score': 0.00011395716137485579}, {'label': 'surprise', 'score': 0.00019841018365696073}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-10-08,1598,"I am now returning to the acting class. I go too far down the hall to a room where ritzy, well-dressed people are. I back track and find the room. The woman teacher is there and I ask her if she would mind if I could be an assistant director. She says, ""How will this help?"" I start counting on my fingers how it would help. ""First, for me,"" I say and I pause and repeat it because it felt selfish to say for me first. But I decide it is proper and I say, ""For me, I would gain skills and experience. For you, after I learn blocking, I could run some of the rehearsals and you could have time off."" ""I'll have to ask the class,"" she says. I agree and point out one woman will say no. She doesn't like me. So I tell the class how I've married this Protestant. They ask if my father is angry. I say, ""No because I divorced my Catholic family."" Then a woman sadly says, ""At first, he won't read your letters and then later, when he dies, he'll speak of you in his last words."" She cries. ""It was like that with her dad,"" someone says. ""But your sister will be angry and hurt."" I agree it was like that with my father. They vote me in, all except the one woman. [BL]",294,Missing,0,-18.14482,43.73458,0.8359758,3.8427064,3,0,NEGATIVE,0.9950586557388306,"[[{'label': 'sadness', 'score': 0.001340041751973331}, {'label': 'joy', 'score': 0.00047065579565241933}, {'label': 'love', 'score': 0.0003633001178968698}, {'label': 'anger', 'score': 0.9971973896026611}, {'label': 'fear', 'score': 0.0004596541984938085}, {'label': 'surprise', 'score': 0.00016886970843188465}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-10-17,1610,"A good-looking man likes me. I decide it's time to do my cleansing ritual. He suggests I do it in the fireplace in the living room with the 25 people seated at the tables watching. I laugh and say, ""No way. The space is too small and all those people watching."" I imagine they would all politely clap their hands after I accomplished my task, saying in cool, clipped accents, ""That's nice B."" The guy and I laugh at the silliness of their British audience routine. I say, ""I'll do it in the swimming pool."" Hasani says, ""It's too cold."" I say, ""I only have to do it for three minutes. Maybe you could run some hot water into the corner I'll be in."" She agrees. The man looks at my black swim suit-encased figure admiringly. [BL]",174,Missing,0,-19.487373,44.71793,-0.87143195,4.1023088,3,1,POSITIVE,0.9833973050117493,"[[{'label': 'sadness', 'score': 0.0012119674356654286}, {'label': 'joy', 'score': 0.9201747179031372}, {'label': 'love', 'score': 0.07136040925979614}, {'label': 'anger', 'score': 0.0053161331452429295}, {'label': 'fear', 'score': 0.0007210345356725156}, {'label': 'surprise', 'score': 0.0012156832963228226}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-10-27,1617,"I am feeling unwell and these men are ruthlessly teasing me. They say I'm no fun, sexually rigid, etc. I try to get away from them. I run upstairs and see two groups of them coming from both ends of the hall. I'm stuck in the middle. He makes me dance with him, pulling me roughly around. I am angry. [BL]",75,AN,1,-19.850039,34.81858,2.7776113,2.936003,5,0,NEGATIVE,0.9913080334663391,"[[{'label': 'sadness', 'score': 0.9987596273422241}, {'label': 'joy', 'score': 0.0002998218114953488}, {'label': 'love', 'score': 0.00023652917298022658}, {'label': 'anger', 'score': 0.00018535381241235882}, {'label': 'fear', 'score': 0.0004090811708010733}, {'label': 'surprise', 'score': 0.00010950539581244811}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-10-28,1619,"I am young and kissing my beau. He wants more and I sense it. I say, ""Do you want more of this?"" He says yes. I say, ""I have to go to the bathroom and think about it. Really."" So I go into a bathroom and sit on a toilet and pee, and then I walk out to him and hug him, kissing him passionately and say, ""Yes."" He is so happy and we walk arm in arm, really connected and in love. We pass Jake and Valerie all dressed up and walking together, Jake's arm around Valerie. We are at the Hilton. I smile at them, but they don't respond. I say to my guy, ""Maybe she didn't recognize me because I'm standing."" She then comes back and says, ""Hi."" We all walk together. Jake and my guy used to work together and Jake has made it big. He gives my guy 90 (0?) percentage, which pleases him. We walk out past a display in a museum where we see Basaltic rock columns rising and falling. The narrative tells us that that's where the Killer Bees live and thank God, they are disappearing so there's less bees. I see two naked men tortured by being covered with these bees. One man opens his mouth at their command to let them in and out. He is in extreme pain. It is horrible. The bees stored honey in his nipple. I feel sick and walk away. [BL]",303,AP,1,-16.196697,40.067547,2.1682744,3.8703554,3,0,POSITIVE,0.9880205988883972,"[[{'label': 'sadness', 'score': 0.24345965683460236}, {'label': 'joy', 'score': 0.014393185265362263}, {'label': 'love', 'score': 0.007380443625152111}, {'label': 'anger', 'score': 0.05816193297505379}, {'label': 'fear', 'score': 0.6734620928764343}, {'label': 'surprise', 'score': 0.003142645349726081}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-12-07,1624,"A man (like Nate) rubs a thick cream on my right thigh. As it soaks in, I am nearly overcome with sexual desire, but I fight it valiantly. I must not give in. A young girl walks toward us innocently. I yell at her, ""Run, run and get Father. If only I can resist until Father comes to save me."" The man grins and waits for me. [BL]",85,Missing,0,-25.507505,56.88889,-2.710414,5.157851,3,1,POSITIVE,0.9980635046958923,"[[{'label': 'sadness', 'score': 0.0009751450852490962}, {'label': 'joy', 'score': 0.9842963814735413}, {'label': 'love', 'score': 0.006821995601058006}, {'label': 'anger', 'score': 0.0037495633587241173}, {'label': 'fear', 'score': 0.0032659796997904778}, {'label': 'surprise', 'score': 0.0008909170283004642}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-12-13,1632,"I am walking down the corridor of a hospital and see a new born baby in his bassinet in the hall. The mother is upset and the baby is crying. I go to the baby and caress his head and send ""loving"" vibes to it. It calms down and sleeps. The nurses are very impressed with my ability and ask me to help out with the preemie's who may die if not nurtured. I go to the nursery and am handed a tiny baby that fits into my hands, so unformed, it's face doesn't have skin yet, just muscle and red. I lay it on my left arm and cuddle it. I concentrate all my loving energies toward it. Now the baby looks like a baby. I go to a sink and put water on my arms as that is better for the baby. I feel a need to pee, but can't leave the baby even for a moment. A nurse suggests she get me a bed pan. I try to feed the baby and suddenly it starts sucking at the thin drops of ""mother's milk"" I offered on a tiny tube/stick. At first I'm concerned she will choke, but she really is eating and swallowing, gaining strength. I am pleased and in awe. She's gaining weight. She is surviving! [BL]",257,AP_HA_CO,3,-22.582794,57.18319,-4.2615943,6.546386,3,1,POSITIVE,0.993614673614502,"[[{'label': 'sadness', 'score': 0.0018641670467332006}, {'label': 'joy', 'score': 0.002092310693114996}, {'label': 'love', 'score': 0.010881287045776844}, {'label': 'anger', 'score': 0.002060264116153121}, {'label': 'fear', 'score': 0.006531217135488987}, {'label': 'surprise', 'score': 0.976570725440979}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1989-12-19,1635,"Third dream: I am standing on a sidewalk and a beautiful Indian man stands at my left. He's a dancer and the music is calling him. He starts to dance away and turns, smiling to invite me to dance with him. He'll teach me how to dance. As we are walking, the scene changes and we are walking into a cathedral. I think to myself, ""How odd. Why am I dreaming a catholic church?"" Then I notice it's a Mexican Mission. We are drawn in as a part of the crowd. We go upstairs and move to seats very close to another Indian man who is preparing his instrument. I am equally attracted to him and go closer. He has a guitar with a printer in it. Other objects are attached to it to make unusual music. I say to my friend, ""Look, He has a large mosquito tied to a string."" It hums and he amplifies it when it's appropriate. Unique instruments. Later, my dancing friend and I are in a car. He's in the driver's seat and we're about to drive away. (I'm in the passenger seat.) I look out the window and see a two-story house with windows that roll down like car windows and most of them are open. I see two huge bears (grizzlies) starting to get out the windows. I tell my Indian man and he gets out to stop them. I see the two bears followed by a dog running away. In the sky are a helicopter and several planes. I begin to cry, left all alone in the car. I keen and lament, ""I've lost everything I've ever loved."" My two beautiful Indian men are gone. I weep uncontrollably. [BL]",347,SD,1,-15.523822,40.76508,1.2781686,3.791497,3,0,NEGATIVE,0.9286817908287048,"[[{'label': 'sadness', 'score': 0.04349055886268616}, {'label': 'joy', 'score': 0.06450528651475906}, {'label': 'love', 'score': 0.008893526159226894}, {'label': 'anger', 'score': 0.006685732398182154}, {'label': 'fear', 'score': 0.6333039999008179}, {'label': 'surprise', 'score': 0.2431209236383438}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1990-01-26,1655,"Ellie and I are going to church. We sit down and then I see my Grandma Mildred,  I get up to go sit with her, hoping Ellie will understand and won't be hurt. Grandma goes upstairs to the balcony where the women's guild is selling food. I help them. We look over the balcony rail to see the preacher giving his sermon. After church, there's a Bible study group and we are there. I feel sleepy and lean back to nap. Grandma does too and then she gets up on the back of the curved couch to lay down, like a cat would, her feet hit the face of a man in the group, she scoots over to my side. I smile to see her like that. Then I say, ""It's after 2:00, can we leave pretty soon?"" She agrees and I start packing up my supplies, disks, pencils, papers, to take with me. I leave six pencils that might have been the church's property, hoping I don't take their stuff with mine. We drive off. [BL]",213,Missing,0,-18.094193,56.00255,-4.25587,7.0476975,3,1,NEGATIVE,0.6730661988258362,"[[{'label': 'sadness', 'score': 0.0556764081120491}, {'label': 'joy', 'score': 0.0018913520034402609}, {'label': 'love', 'score': 0.0012610841076821089}, {'label': 'anger', 'score': 0.0013995631597936153}, {'label': 'fear', 'score': 0.9350700378417969}, {'label': 'surprise', 'score': 0.004701546858996153}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1990-02-03,1665,"I'm in an old run-down house. The floor boards of my bedroom are rotted through and a hole is developing. I'm in bed near a stairwell. I realize some of the clothes on my floor have slid down into the hole. I wonder where my father is. He could fix the hole. I reach for the clothes and slide into the hole myself and fall under the house in a horrible pile of debris that is rotting away. I feel fear that I will rot with it. I fight my way back up into the house and walk down the hall asking where everyone is. Dwight is in his room, the furthest one away. My mother's in her room. I'm near the front door and a monster from hell comes at me. I am very afraid but stand my ground. I grab its tongue at its roots and pull, even though I know he'll bite me and it will be terribly painful. I poke his eye with a stick and drag him out of the house. He's unconscious and I crawl back to the house with a match. I light the carpet on the porch, wondering if I should go in first and get our possessions, but it is more important to torch it at once. I light it. The monster comes at me, but is consumed in the flames. I look to make sure all my family is safely out of the house. One is missing and then I see her -  Dwight, Jake, my mother, my father, Charla and me. We walk down the road and I say, ""Are we homeless? And we don't even have a car to live in."" [BL]",328,AP_AP,2,-16.371664,44.004868,0.73005253,4.1622057,3,0,NEGATIVE,0.9988401532173157,"[[{'label': 'sadness', 'score': 0.5866531729698181}, {'label': 'joy', 'score': 0.002899408806115389}, {'label': 'love', 'score': 0.0008854481275193393}, {'label': 'anger', 'score': 0.00436828238889575}, {'label': 'fear', 'score': 0.4025363624095917}, {'label': 'surprise', 'score': 0.002657349221408367}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1990-02-06,1670,"Some guy brings in a box of groceries we supposedly ordered. I laugh and say, ""Oh no. We ordered Rye Crackers, not Rye brand dog food. We don't even have a dog. But, I'll accept this steak and porkchop."" A man comes out and says, ""No, we didn't order that either."" I say, ""Yes we did. I heard you do it."" ""Not this steak,"" he says and gives it back. ""Trust me,"" he says and I shrug, letting go of the meat. We go back into the house and the guy starts kissing me. I like him where I hadn't before. He's the cook and has a spray of potato juice on his face. [BL]",154,Missing,0,-24.130985,56.236946,-2.972971,5.334208,3,1,POSITIVE,0.532088041305542,"[[{'label': 'sadness', 'score': 0.008040713146328926}, {'label': 'joy', 'score': 0.2398957759141922}, {'label': 'love', 'score': 0.050196073949337006}, {'label': 'anger', 'score': 0.6757678389549255}, {'label': 'fear', 'score': 0.02370714396238327}, {'label': 'surprise', 'score': 0.002392490627244115}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1990-03-17,1677,"I am approaching a barn, it is old, dilapidated and ugly. Inside is darkness and rotting, stinking stuff that I am supposed to clean up. I don't want to, and as I am walking to the door, I veer away, deciding not to do it. I then walk across a grassy pasture to a muddy embankment. I accidentally slip and fall, sliding down the embankment to a muddy area that is like quicksand. I am flat on my back and sinking, trapped and I know there is no way out. I am as good as dead. My sister Lydia is with me and she is already below the mud line. I see she is still alive because her eyes open and shut. It is almost time for me to go under. I feel fear and resistance, but I don't panic. I go under and am amazed I can still breathe. A wash of water goes over us, rising us, floating, out of the mud. We crawl out onto the grass. Then we get up, hugging each other and walking toward our house, which is around the left side of the barn. There are a series of Quonset huts like married student housing at OSU. The first one on the left is ours. It is old, the paint is peeling. I open the door and walk in. I see a blue cotton print dress on a dress form and I say, ""Hi, Mama."" I realize it is a symbol of my mother. I see movement in the bedroom, my ""father"" is sick and old and in bed. I don't want to go in, but I do. His face is bumpy and old-looking. He says to me, ""I have no sons, so you will be my boy, Buck Bucko."" [BL]",356,AP_CO,2,-21.23673,52.35787,-2.1642795,5.3866916,3,1,NEGATIVE,0.9948557615280151,"[[{'label': 'sadness', 'score': 0.004627968184649944}, {'label': 'joy', 'score': 0.006989146117120981}, {'label': 'love', 'score': 0.0014844514662399888}, {'label': 'anger', 'score': 0.009103554300963879}, {'label': 'fear', 'score': 0.18342632055282593}, {'label': 'surprise', 'score': 0.79436856508255}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1990-09-12,1705,"A young boy is curious about kissing. He wants to know what it will feel like. I/myself/his mother, decide to kiss him myself to show him. I know it's wrong, but it's better for him if I know him, than for a stranger to do it. (That's my reasoning, anyway.) Later, the color blue, a journey and snow. [BL]",78,Missing,0,-22.075188,55.509155,-4.282132,4.9319735,3,1,POSITIVE,0.572012722492218,"[[{'label': 'sadness', 'score': 0.012729905545711517}, {'label': 'joy', 'score': 0.2685268521308899}, {'label': 'love', 'score': 0.04679602012038231}, {'label': 'anger', 'score': 0.18332383036613464}, {'label': 'fear', 'score': 0.1950569599866867}, {'label': 'surprise', 'score': 0.29356643557548523}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1990-09-25,1715,"Howard wants to make love to me. I am paralyzed with bad, sad feelings. I say, ""I'm sorry, I guess I'll have to get sexual therapy counseling, if I'm ever going to be able to make love again."" I am so repulsed by the idea of making love to him. [BL]",66,SD_AP,2,-22.378496,33.598503,1.0378735,3.6612036,3,0,NEGATIVE,0.9991783499717712,"[[{'label': 'sadness', 'score': 0.07224532216787338}, {'label': 'joy', 'score': 0.0016194827621802688}, {'label': 'love', 'score': 0.025235002860426903}, {'label': 'anger', 'score': 0.8262864351272583}, {'label': 'fear', 'score': 0.067833811044693}, {'label': 'surprise', 'score': 0.006779891438782215}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1990-12-03,1721,"I opened a huge package I had wrapped up and saw it was the ""Life Monopoly"" poster/movie I was sending to Dovre. I was tired and annoyed that I made more work for myself. I am too tired to wrap it back up, but I don't want to keep it any more and wonder if Dovre will mind storing it for me. I am bored and restless. I wander around and see a man I like, but I feel like I won't get him; he's in the distance. I feel like it would be nice to connect with him, but too tired to do anything even if I could figure out what do to. [BL]",132,AN,1,-19.565481,36.365326,1.952229,4.0473356,3,0,NEGATIVE,0.9988707900047302,"[[{'label': 'sadness', 'score': 0.6954076290130615}, {'label': 'joy', 'score': 0.04460537061095238}, {'label': 'love', 'score': 0.0018139563035219908}, {'label': 'anger', 'score': 0.25377264618873596}, {'label': 'fear', 'score': 0.003375897416844964}, {'label': 'surprise', 'score': 0.0010244554141536355}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1991-01-19,1746,"I am in a play or movie. I'm playing a sexy slut, with a platinum blonde wig, a furry white bra, halter top, big boobs. I come on stage wearing a sexy dress over the sexy outfit. I'm waiting for my boyfriend. Another man, the ""bad guy,"" sits near me and on the arm of the chair I'm seated in, curled up in a sexy way. He moves his hand to cause my dress to fall more revealingly to show more leg. Then he sits next to me, his arm now around me. He asks me to dance. I agree. He pulls me close. I see he has a large butcher knife. I have one too. We fight like swords fighting. I feel sad, but I must defend myself. I try to knife his balls. He dodges. He's a good-looking man. I'm attracted to him but he's clearly trying to get at my boyfriend through me. [BL]",194,SD,1,-23.084612,56.563507,-2.93288,5.9861984,3,1,POSITIVE,0.9861056208610535,"[[{'label': 'sadness', 'score': 0.996976375579834}, {'label': 'joy', 'score': 0.0013380261370912194}, {'label': 'love', 'score': 0.0009440613212063909}, {'label': 'anger', 'score': 0.00033149163937196136}, {'label': 'fear', 'score': 0.00022797539713792503}, {'label': 'surprise', 'score': 0.00018219293269794434}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1991-02-08,1765,"I'm in my bedroom and I hear something coming for the door. I go to look. It's like a giant white furry elephant with a short trunk. I try to keep it out of my room. I am afraid of it. I call out ""Mother"" to see if she'd come help. I poke it with a stick and rush to close the door and hold the door shut. [BL]",83,AP,1,-23.209465,42.159855,-0.13501374,4.405846,3,1,NEGATIVE,0.9946373105049133,"[[{'label': 'sadness', 'score': 0.0006678690551780164}, {'label': 'joy', 'score': 0.0004117728676646948}, {'label': 'love', 'score': 0.0001968498108908534}, {'label': 'anger', 'score': 0.0009786369046196342}, {'label': 'fear', 'score': 0.997283935546875}, {'label': 'surprise', 'score': 0.00046097664744593203}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1991-03-18,1798,"I am told that my sister Lydia died. I am shocked and sad. I'm sort of in shock and it takes awhile for the full feelings of sorrow to sink in. Some part of me seems removed, distant, almost objectively curious. I suddenly remember to ask my mother how she died. My mother said the four of them went to dinner at the Bates Restaurant. They all ate the same food and they all got sick, but Lydia must have eaten the worst, most poisoned part, and she died. They all threw up and had slimy, sticky diarrhea, but Lydia died from it. I shake my head in sorrow. She was so young and good and had so much to live for. Then I amend that part, living with Darryl, how could she look forward to living more? Cousin Patricia comes by to give me some photos she had of Lydia. It's tradition, when someone dies, people give back their photos to the loved one. I remember returning Terence's pictures to her. [BL]",203,CO_SD,2,-17.632843,44.992924,0.27223212,4.9969482,3,0,NEGATIVE,0.9935985803604126,"[[{'label': 'sadness', 'score': 0.0033463765867054462}, {'label': 'joy', 'score': 0.0021259041968733072}, {'label': 'love', 'score': 0.0016939295455813408}, {'label': 'anger', 'score': 0.0014430518494918942}, {'label': 'fear', 'score': 0.03943493589758873}, {'label': 'surprise', 'score': 0.9519557952880859}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1991-04-07,1816,"I am swimming in a large swimming pool made of rocks cemented together, volcanic rock. It's crowded, lots of people, older women in pink suits, etc. I swim slowly and carefully, staying in the medium deep place where it's not over my head. I am aware of how out of shape I am! I slowly stretch and exercise my muscles. It feels good. When I hang on to the rocks on the side, some of them break off in my hand. They are kind of crumbly and ""incompetent."" I try to put them back. [BL]",116,Missing,0,-22.866072,54.066437,-2.6603715,5.3994293,3,1,POSITIVE,0.967326819896698,"[[{'label': 'sadness', 'score': 0.0010196688817813993}, {'label': 'joy', 'score': 0.997414231300354}, {'label': 'love', 'score': 0.0002697514137253165}, {'label': 'anger', 'score': 0.0005974413943476975}, {'label': 'fear', 'score': 0.00042284937808290124}, {'label': 'surprise', 'score': 0.00027597538428381085}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1991-04-19,1839,"I am swimming, holding a baby girl. She and I are flying just above the water because we swim so effortlessly. I get cocky and we're flying/swimming over a huge expanse of water. Suddenly ""my little girl"" is there too and we start floundering. She goes under and I have a terrible dilemma. Do I let go of the one to save the other and endanger myself as well? I dive for her and find her. Now I'm working hard to keep all of us afloat. I see a huge rubber life raft and we get in it, only it must have a leak in it because it's very limp and water is getting in. We fold up the limp parts and I ask the girls to bail. We manage to stay afloat. We float over to an opening in the wall and I see monsters, three ugly things. They capture me and put me in a cage with it hanging over some boiling oil or black sewage gunk. If I don't choose one of these uglies to marry, they'll dump me in the gunk. I don't know which fate is worse. I decide to choose one of the uglies. [BL]",231,Missing,0,-25.901821,51.245823,-2.6239789,6.232277,3,1,NEGATIVE,0.991786777973175,"[[{'label': 'sadness', 'score': 0.011268124915659428}, {'label': 'joy', 'score': 0.025776496157050133}, {'label': 'love', 'score': 0.0011529367184266448}, {'label': 'anger', 'score': 0.9322566986083984}, {'label': 'fear', 'score': 0.02892652153968811}, {'label': 'surprise', 'score': 0.0006191891734488308}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1991-06-02,1863,"I see a bear off in the distance. It's the one my father, an Indian Chief, has happily pursued and hunted for years. It's his great joy to try and capture this bear. It is coming toward me and I must protect myself or it will kill me. I have my father's .22 rifle. I shoot at the bear over and over, but it only enrages him and he's close now. I aim for the eye and shoot and shoot. Now he's on top of me, mauling me. I keep shooting and finally it dies. I crawl out from under it and crawl, bleeding and maimed, to my father's horse. I put my father's rifle in the holster on the saddle and ride back to tell my father I have killed his bear. I am worried he will be upset because I've brought to an end his favorite sport. I see a small, naked Native American man. He's out of shape and his body fat is down around the belly and hips. He tries to suck it all in and his chest rises to look more manly. [BL]",221,AP,1,-28.013205,42.50724,-1.0426146,6.0682817,3,1,NEGATIVE,0.9563663005828857,"[[{'label': 'sadness', 'score': 0.0028994178865104914}, {'label': 'joy', 'score': 0.002953219460323453}, {'label': 'love', 'score': 0.0006518333102576435}, {'label': 'anger', 'score': 0.9812348484992981}, {'label': 'fear', 'score': 0.01203998550772667}, {'label': 'surprise', 'score': 0.00022069762053433806}]]"
F,YA,series,Barb Sanders: baseline,b-baseline,1960-1997,1991-06-04,1868,"A man, Claude, is dancing ballet on stage with a group. I am watching from backstage. It all looks fun, cultural and nice, I keep moving around to see him better. I realize I'm sort of on stage at one point and move out of the way. After the dance, he comes over. We are shy, but like each other. I'm seated on a chair and he sits on the same chair. We are close and talking. Then he puts me on his lap. I hope I don't weight too much. I wish I'd lost some weight. We have coffee/tea, drink and chat, really enjoying each other's company. [BL]",136,Missing,0,-20.595158,41.29643,1.4120362,4.382617,3,0,POSITIVE,0.9992117881774902,"[[{'label': 'sadness', 'score': 0.0012706950074061751}, {'label': 'joy', 'score': 0.0004775453417096287}, {'label': 'love', 'score': 0.0016959920758381486}, {'label': 'anger', 'score': 0.0011457311920821667}, {'label': 'fear', 'score': 0.9939596652984619}, {'label': 'surprise', 'score': 0.0014504006830975413}]]"
